,City,Cloudiness,Country,Humidity,Lat,Lon,Max Temp,Wind Speed
87,Qaanaaq,100,GL,69,77.48,-69.36,-13.6,4.79
88,Sungairaya,100,ID,93,0.7,108.9,24.45,2.38
89,Takaka,0,NZ,90,-40.86,172.81,13.89,0.89
90,Bredasdorp,33,ZA,41,-34.53,20.04,25.0,10.8
91,Graham,90,US,100,33.11,-98.59,3.33,1.8
92,Baykit,100,RU,96,61.68,96.39,-15.74,2.66
93,Port Elizabeth,1,US,55,39.31,-74.98,6.67,4.1
94,Tuktoyaktuk,90,CA,92,69.44,-133.03,-14.0,1.5
95,Narsingdi,40,BD,69,23.92,90.7,24.0,1.5
96,Rzeszow,90,PL,77,50.04,22.0,1.67,8.2
97,Lalsot,20,IN,56,26.56,76.33,23.0,0.6
98,Kilimatinde,100,TZ,43,-5.75,34.82,29.78,1.05
99,Anadyr,20,RU,76,64.73,177.51,-22.78,4.0
100,Bose,90,IT,100,45.46,8.01,11.67,5.1
101,Comodoro Rivadavia,93,AR,55,-45.87,-67.48,18.0,3.1
102,Nishihara,90,JP,100,35.74,139.53,14.0,5.1
103,Kaitangata,100,NZ,82,-46.28,169.85,13.95,5.2
104,Petropavl,90,KZ,92,54.87,69.13,-5.0,5.0
105,Gat,0,SN,15,14.69,-16.54,36.0,4.1
106,Dikson,84,RU,98,73.51,80.55,-20.78,3.08
107,Leh,17,IN,53,34.16,77.58,-5.52,1.71
108,Komsomolskiy,100,RU,89,67.55,63.78,-13.15,1.61
109,Khatanga,98,RU,99,71.98,102.47,-26.57,1.49
110,Kavaratti,100,IN,76,10.57,72.64,28.75,4.82
111,Obo,31,CF,68,5.39,26.49,26.17,2.43
112,Yellowknife,90,CA,92,62.45,-114.38,-4.0,2.6
113,Topolobampo,20,MX,77,25.6,-109.05,20.56,3.1
114,East London,40,ZA,73,-33.02,27.91,24.0,4.1
115,Flin Flon,90,CA,92,54.77,-101.88,-1.0,2.6
116,Ponta Delgada,75,PT,82,37.73,-25.67,19.0,8.7
117,Road Town,20,VG,58,18.42,-64.62,29.0,3.6
118,Filingue,0,NE,8,14.35,3.32,37.41,3.7
119,Tasiilaq,20,GL,73,65.61,-37.64,-4.0,1.0
120,Caravelas,97,BR,41,-17.73,-39.27,32.86,4.19
121,Stephenville,75,CA,80,48.55,-58.59,5.56,9.8
122,Vestmannaeyjar,40,IS,81,63.44,-20.27,6.0,3.1
123,Upernavik,100,GL,58,72.79,-56.15,-6.92,4.41
124,Nichinan,65,JP,80,31.65,131.31,21.17,6.73
125,Victoria,75,BN,83,5.28,115.24,26.0,1.5
126,Umm Lajj,0,SA,46,25.02,37.27,23.05,2.36
127,Souillac,71,FR,87,45.6,-0.6,12.22,4.1
128,Shipunovo,100,RU,79,52.22,82.26,-16.59,2.68
129,Lagoa,40,PT,72,37.14,-8.45,17.78,6.2
130,Saldanha,60,PT,67,41.42,-6.55,9.86,7.09
131,Burgersdorp,44,ZA,5,-30.99,26.32,29.83,8.74
132,Pisco,90,PE,30,-13.71,-76.2,22.0,6.2
133,Santa Maria,75,BR,78,-16.02,-48.01,22.0,4.1
134,Rocha,12,UY,55,-34.48,-54.34,19.18,5.51
135,Sassandra,43,CI,66,4.95,-6.09,29.51,3.71
136,Puerto Ayora,40,EC,64,-0.74,-90.35,23.0,5.7
137,Laslea,59,RO,75,46.21,24.66,8.0,1.5
138,Castro,75,CL,63,-42.48,-73.76,17.0,9.3
139,Bermeo,75,ES,76,43.42,-2.72,13.89,9.3
140,Abidjan,40,CI,70,5.32,-4.02,32.0,4.1
141,Oyama,90,JP,93,36.31,139.8,13.89,4.6
142,Alakurtti,99,RU,93,66.96,30.34,-2.22,1.34
143,Katsuura,20,JP,87,33.93,134.5,13.0,3.6
144,Cayambe,75,EC,72,0.04,-78.14,16.0,1.5
145,Poum,40,MK,66,41.28,20.71,10.0,2.37
146,Esperance,100,AU,82,-33.86,121.89,15.0,2.6
147,Wilmington,69,US,59,39.75,-75.55,5.56,2.1
148,Meridian,1,US,92,43.61,-116.39,-0.56,1.5
149,Saint-Pierre,99,FR,87,48.95,4.24,9.0,4.6
150,Talnakh,30,RU,83,69.49,88.39,-23.0,7.0
151,Georgetown,75,GY,88,6.8,-58.16,31.0,1.0
152,Thunder Bay,90,CA,100,48.41,-89.26,-2.78,2.6
153,Dabakala,18,CI,31,8.36,-4.43,34.69,3.54
154,Cuanajo,20,MX,77,19.49,-101.51,19.0,1.0
155,Sehithwa,100,BW,30,-20.47,22.7,33.72,4.71
156,Alofi,100,NU,94,-19.06,-169.92,24.0,2.6
157,Kununurra,100,AU,48,-15.77,128.74,30.0,2.1
158,Codrington,0,AU,77,-28.95,153.24,22.0,1.04
159,Tondano,20,ID,94,1.3,124.91,25.0,1.0
160,La Ronge,75,CA,69,55.1,-105.3,3.0,4.6
161,Faya,75,SA,82,18.39,42.45,17.0,2.1
162,Jamestown,0,AU,74,-33.21,138.6,11.17,2.79
163,Iqaluit,75,CA,68,63.75,-68.52,-2.0,4.6
164,Sitka,0,US,85,37.17,-99.65,0.56,3.58
165,Kruisfontein,38,ZA,57,-34.0,24.73,19.68,6.61
166,Sao Miguel do Araguaia,100,BR,72,-13.28,-50.16,25.32,1.89
167,Umm Kaddadah,1,SD,12,13.6,26.69,29.52,7.06
168,Sterling,1,US,74,39.0,-77.4,5.56,1.6
169,Tshikapa,100,CD,95,-6.42,20.79,21.49,1.67
170,Banes,40,CU,61,20.96,-75.72,27.0,6.2
171,Sistranda,75,NO,75,63.73,8.83,7.78,4.6
172,Palu,100,ID,99,-0.9,119.87,20.17,0.75
173,Talara,75,PE,100,-4.58,-81.27,17.0,9.3
174,Aksha,96,RU,77,50.28,113.29,-18.4,4.51
175,Meulaboh,97,ID,78,4.14,96.13,27.9,4.61
176,Del Rio,1,US,76,29.36,-100.9,11.0,3.1
177,Namibe,26,AO,57,-15.19,12.15,26.0,6.7
178,Najran,75,SA,53,17.54,44.22,22.0,2.1
179,Medea,40,DZ,63,36.27,2.77,17.0,12.3
180,Bowen,40,AU,83,-20.01,148.25,21.11,1.5
181,Gumla,0,IN,64,23.04,84.54,16.86,1.51
182,Yinchuan,100,CN,19,38.48,106.21,-2.78,1.34
183,Ahipara,100,NZ,100,-35.17,173.16,14.44,7.72
184,Uusikaupunki,90,FI,74,60.8,21.41,1.11,2.6
185,Aksarka,34,RU,92,66.56,67.8,-22.0,3.34
186,Waynesville,90,US,100,37.83,-92.2,2.22,4.1
187,Sarangani,79,PH,74,5.4,125.46,28.19,2.91
188,Biskamzha,100,RU,95,53.45,89.53,-18.66,1.73
189,Civitavecchia,40,IT,68,42.09,11.79,19.0,9.8
190,Leningradskiy,92,RU,96,69.38,178.42,-19.89,9.49
191,Kosh-Agach,0,RU,76,49.99,88.66,-24.5,1.46
192,Touros,75,BR,55,-5.2,-35.46,31.0,6.7
193,Husavik,24,CA,94,50.56,-96.99,-2.78,2.68
194,Beringovskiy,0,RU,82,63.05,179.32,-13.57,7.06
195,Tuatapere,61,NZ,76,-46.13,167.69,18.33,4.02
196,Mwene-Ditu,97,CD,95,-7.01,23.45,20.74,3.47
197,Semnan,90,IR,65,35.58,53.39,8.0,1.0
198,Mount Isa,22,AU,28,-20.73,139.49,29.0,3.6
199,Padang,100,ID,97,-0.92,100.36,20.3,0.54
200,Coahuayana,69,MX,82,18.62,-100.35,24.01,0.55
201,Sao Filipe,13,CV,68,14.9,-24.5,24.77,5.58
202,Bedele,95,ET,87,8.46,36.35,19.45,1.1
203,Tautira,96,PF,78,-17.73,-149.15,24.0,1.5
204,Tapejara,9,BR,38,-23.73,-52.87,33.17,2.51
205,Lebu,40,ET,64,8.96,38.73,20.0,7.2
206,Amos,75,CA,92,48.57,-78.12,-4.0,5.7
207,Monrovia,75,LR,83,6.33,-10.8,28.0,2.1
208,Severo-Kurilsk,100,RU,97,50.68,156.12,-3.39,3.99
209,Ilulissat,75,GL,50,69.22,-51.1,-2.0,7.2
210,Cabedelo,75,BR,58,-6.97,-34.84,30.0,5.1
211,Yakeshi,12,CN,95,49.28,120.73,-24.26,2.04
212,Kipini,1,KE,79,-2.53,40.53,29.0,3.7
213,Enid,1,US,100,36.4,-97.88,3.0,2.1
214,Geraldton,75,CA,85,49.72,-86.95,-4.0,5.1
215,Grand Gaube,75,MU,66,-20.01,57.66,29.0,3.1
216,Voh,9,NC,79,-20.95,164.69,21.64,4.53
217,Te Anau,100,NZ,91,-45.41,167.72,12.59,2.5
218,Aasiaat,100,GL,73,68.71,-52.87,-3.34,7.09
219,Ta Khmau,100,KH,73,11.48,104.95,24.89,2.02
220,Aran,90,AZ,93,40.63,46.98,4.0,3.1
221,Westport,1,US,44,41.14,-73.36,5.0,2.6
222,Xucheng,69,CN,75,33.0,118.51,17.49,1.87
223,Aklavik,20,CA,91,68.22,-135.01,-14.0,1.0
224,Yulara,54,AU,10,-25.24,130.99,27.0,4.1
225,Mackenzie,90,CA,60,55.34,-123.09,6.0,5.7
226,Sorland,100,NO,79,67.67,12.69,7.56,2.07
227,Arman,100,RU,90,59.7,150.17,-5.68,12.58
228,Kot Samaba,0,PK,42,28.55,70.47,21.71,1.81
229,Airai,0,TL,69,-8.93,125.41,19.78,1.23
230,Nova Russas,67,BR,33,-4.71,-40.57,35.97,2.16
231,Tiznit,100,MA,92,29.7,-9.73,15.18,6.43
232,Raudeberg,71,NO,75,61.99,5.14,7.0,1.5
233,Nouadhibou,32,MR,32,20.93,-17.03,29.0,5.7
234,George,100,MW,84,-15.35,34.83,23.77,2.04
235,Eirunepe,100,BR,96,-6.66,-69.87,24.04,1.13
236,San Quintin,30,PH,91,17.54,120.52,23.04,1.24
237,Saskylakh,99,RU,99,71.97,114.09,-29.34,1.14
238,Camocim,67,BR,42,-2.9,-40.84,34.67,3.51
239,Zabaykalsk,100,CN,81,49.64,117.33,-16.99,4.71
240,Fukue,75,JP,72,35.03,136.69,17.0,3.6
241,Mariental,75,BR,73,-25.72,-49.65,28.89,3.6
242,Khovu-Aksy,0,RU,83,51.13,93.72,-19.62,4.18
243,Haimen,95,CN,90,31.87,121.18,18.89,2.01
244,Buin,20,CL,59,-33.73,-70.74,20.0,1.5
245,Dryden,1,CA,100,49.79,-92.84,-6.0,4.1
246,Los Llanos de Aridane,20,ES,73,28.66,-17.92,24.0,5.7
247,Hofn,20,IS,80,64.25,-15.21,2.0,2.1
248,Brownwood,1,US,87,31.71,-98.99,10.0,1.5
249,Bitung,20,ID,94,1.44,125.19,25.0,1.0
250,Mildura,34,AU,42,-34.18,142.16,17.0,3.1
251,Rome,40,IT,67,41.89,12.48,19.0,8.2
252,Czersk,48,PL,96,53.8,17.98,2.22,4.95
253,Narsaq,75,GL,53,60.91,-46.05,-5.0,0.5
254,Saint-Louis,0,SN,16,16.03,-16.5,36.0,3.1
255,Sayhat,0,SA,46,26.49,50.04,22.0,3.1
256,Oga,90,IT,95,46.46,10.35,6.67,4.1
257,Honiara,59,SB,88,-9.43,159.96,21.72,1.84
258,Mahebourg,75,MU,66,-20.41,57.7,29.0,3.1
259,Awjilah,92,LY,17,29.14,21.3,24.35,3.43
260,Zhigansk,100,RU,95,66.77,123.37,-28.26,3.62
261,Kahului,1,US,83,20.89,-156.47,24.0,8.2
262,Jacareacanga,99,BR,68,-6.22,-57.76,27.33,0.52
263,Constitucion,20,MX,65,23.99,-104.67,11.67,0.76
264,Nurota,93,UZ,34,40.56,65.69,0.0,1.0
265,Banda Aceh,0,ID,90,5.56,95.32,23.42,2.24
266,Longyearbyen,75,NO,73,78.22,15.63,-7.0,7.2
267,Jalu,92,LY,17,29.03,21.55,24.35,3.43
268,Ambon,90,FR,93,47.55,-2.56,11.11,5.7
269,Kavieng,100,PG,75,-2.57,150.8,27.57,3.81
270,Pontefract,75,GB,100,53.69,-1.31,9.44,3.1
271,Saint-Philippe,40,CA,68,45.36,-73.48,0.0,2.6
272,Wiarton,75,CA,80,44.74,-81.13,1.11,5.7
273,Clyde River,90,CA,100,70.47,-68.59,-8.0,8.7
274,Krasnoye-na-Volge,98,RU,78,57.51,41.24,-9.0,1.0
275,Avare,0,BR,53,-23.1,-48.93,28.81,4.36
276,Kandrian,63,PG,86,-6.21,149.55,21.3,2.16
277,Mikkeli,98,FI,87,61.69,27.27,-3.33,0.45
278,Lompoc,1,US,62,34.64,-120.46,14.44,3.1
279,Ribeira Grande,75,PT,88,38.52,-28.7,20.0,9.3
280,Fredericksburg,1,US,80,38.3,-77.46,5.56,1.27
281,Valparaiso,90,US,100,41.47,-87.06,0.0,2.18
282,Hualmay,49,PE,56,-11.1,-77.61,22.5,3.93
283,Port Hedland,100,AU,58,-20.31,118.58,28.0,4.1
284,Fortuna,1,US,93,40.6,-124.16,6.11,2.6
285,Boyolangu,1,ID,92,-8.09,111.9,23.73,1.58
286,Victoria,75,BN,83,5.28,115.24,26.0,1.5
287,Pacific Grove,1,US,70,36.62,-121.92,11.11,1.5
288,Tiksi,87,RU,88,71.64,128.87,-30.76,2.3
289,Adrar,0,DZ,28,27.87,-0.29,27.0,9.8
290,Labuhan,99,ID,94,-2.54,115.51,23.38,0.74
291,Diffa,56,NE,9,13.32,12.61,36.09,6.44
292,Bridlington,100,GB,100,54.08,-0.19,9.44,3.1
293,Harnosand,100,SE,100,62.63,17.94,4.44,3.6
294,Buala,100,SB,83,-8.15,159.59,25.93,2.8
295,Port Blair,0,IN,68,11.67,92.75,28.04,5.54
296,Santa Rosa,64,AR,18,-36.62,-64.29,19.13,8.37
297,Champerico,40,MX,69,16.38,-93.6,24.0,1.0
298,Dashitou,100,CN,89,43.3,128.5,-1.47,1.31
299,Ola,100,RU,87,59.58,151.3,-8.35,7.67
300,Ajdabiya,0,LY,37,30.75,20.22,22.94,3.61
301,Rabo de Peixe,75,PT,82,37.8,-25.58,19.0,8.7
302,Hovd,40,NO,89,63.83,10.7,7.78,4.6
303,George Town,20,MY,94,5.42,100.33,26.0,1.5
304,Shenjiamen,100,CN,97,29.96,122.3,19.76,3.83
305,Harper,1,US,81,30.3,-99.24,12.78,3.2
306,Laramie,1,US,43,41.31,-105.59,2.22,7.2
307,Prokhorovka,0,RU,41,51.03,36.73,-4.0,5.0
308,Petukhovo,100,RU,93,55.06,67.89,-9.7,4.89
309,Hami,0,CN,32,42.84,93.51,-8.65,1.25
310,Opunake,1,NZ,94,-39.45,173.86,11.67,0.89
311,Saint-Vallier,100,FR,81,46.64,4.37,12.0,4.6
312,San Carlos de Bariloche,75,AR,37,-41.13,-71.31,20.0,4.1
313,Bollnas,100,SE,99,61.35,16.39,2.43,1.08
314,Alikalia,52,SL,35,9.15,-11.39,32.27,1.97
315,Kainantu,42,PG,93,-6.29,145.87,12.38,2.26
316,Petropavlovka,57,RU,85,50.61,105.32,-20.49,2.42
317,Karratha,100,AU,65,-20.74,116.85,28.58,6.36
318,Zhuhai,40,CN,21,40.71,112.04,-3.0,6.0
319,Makakilo City,90,US,94,21.35,-158.09,25.56,6.8
320,Isangel,100,VU,74,-19.55,169.27,21.31,7.71
321,Ugoofaaru,74,MV,78,5.67,73.0,28.58,7.59
322,Dingle,47,PH,89,11.0,122.67,24.15,3.43
323,Beloha,0,MG,60,-25.17,45.06,24.49,7.25
324,Vaitape,85,PF,78,-16.52,-151.75,26.85,7.73
325,Parabel,100,RU,91,58.71,81.5,-14.09,5.12
326,Yarada,0,IN,66,17.65,83.27,26.34,4.92
327,Zalesovo,99,RU,88,54.0,84.74,-17.69,3.06
328,Sola,100,TZ,89,-3.17,33.8,19.97,4.15
329,Richards Bay,35,ZA,90,-28.77,32.06,23.85,9.22
330,Peniche,20,PT,67,39.36,-9.38,16.67,4.6
331,Parrita,20,CR,57,9.52,-84.33,26.0,6.2
332,Parana,75,BR,83,-7.52,-72.89,27.0,1.0
333,Coihaique,100,CL,71,-45.58,-72.07,14.0,1.5
334,Togul,99,RU,79,53.47,85.91,-16.55,0.95
335,Moerai,93,PF,85,-22.43,-151.33,23.83,9.72
336,Dicabisagan,41,PH,88,17.08,122.42,24.94,2.48
337,Goderich,15,CA,83,43.74,-81.71,2.78,6.26
338,Mahon,90,IE,93,51.89,-8.4,8.33,5.7
339,Vakhrushev,71,RU,76,48.99,142.86,6.82,8.27
340,Mahudha,40,IN,61,22.82,72.94,25.0,1.33
341,Myitkyina,60,MM,80,25.38,97.4,17.85,1.18
342,Booue,90,GA,52,-0.09,11.94,30.7,0.84
343,Ponta do Sol,18,BR,62,-20.63,-46.0,27.22,3.01
344,Port Macquarie,100,AU,83,-31.43,152.91,21.0,2.6
345,The Valley,40,AI,61,18.22,-63.06,30.0,4.6
346,Chake Chake,100,TZ,76,-5.25,39.77,28.67,3.56
347,Chino Valley,1,US,86,34.76,-112.45,5.0,1.5
348,Carauari,100,BR,59,-4.88,-66.9,30.98,1.84
349,Santiago de Cuba,20,CU,51,20.03,-75.83,29.0,4.6
350,Waycross,40,US,60,31.21,-82.35,22.22,3.6
351,Pinsk,100,BY,47,52.11,26.1,-2.81,5.85
352,Barmer,0,IN,42,25.74,71.4,25.98,4.71
353,Kyren,65,RU,63,51.68,102.13,-23.78,3.55
354,Iquique,24,CL,68,-20.22,-70.14,22.0,6.2
355,Gazanjyk,0,TM,42,39.24,55.52,-3.31,2.86
356,Doha,0,QA,50,25.29,51.53,24.0,2.1
357,Bayan,74,CN,66,36.1,102.26,-6.95,2.81
358,Flinders,90,AU,93,-34.58,150.85,18.89,1.0
359,Colesberg,1,ZA,5,-30.72,25.1,31.73,7.08
360,Grindavik,75,IS,100,63.84,-22.43,5.0,3.1
361,Aquiraz,40,BR,58,-3.9,-38.39,31.0,6.7
362,Boende,100,CD,92,-0.28,20.88,22.12,1.43
363,Vilhena,20,BR,78,-12.74,-60.15,27.0,4.1
364,Beba,20,CU,65,22.44,-79.73,26.0,3.6
365,Cheyenne,1,US,43,41.14,-104.82,2.22,7.7
366,Oistins,40,BB,70,13.07,-59.53,30.0,7.2
367,Wuwei,100,CN,30,37.93,102.64,-5.17,2.47
368,Yamnytsya,90,UA,100,48.99,24.71,-2.0,5.0
369,Strezhevoy,90,RU,92,60.73,77.6,-6.0,4.0
370,Vostok,100,RU,97,46.45,135.83,-2.17,2.78
371,Tabuk,22,PH,92,17.41,121.44,23.34,1.04
372,Bubaque,0,GW,51,11.28,-15.83,28.58,2.73
373,Sungaipenuh,100,ID,98,-2.08,101.38,18.18,0.25
374,Ostrovnoy,100,RU,92,68.05,39.51,-4.52,7.48
375,Nantucket,1,US,44,41.28,-70.1,4.44,3.6
376,Vardo,1,US,64,39.62,-77.74,5.0,2.1
377,Ust-Nera,92,RU,92,64.57,143.24,-38.05,1.52
378,Potam,40,MX,100,27.6,-110.38,15.0,1.0
379,Alyangula,0,AU,83,-13.85,136.42,27.0,2.1
380,Le Port,90,FR,93,42.87,1.37,9.44,1.0
381,Oktyabrskoye,100,RU,71,56.73,85.44,-15.0,8.0
382,Vila Velha,40,BR,58,-3.71,-38.6,31.0,6.7
383,Puerto Ayacucho,12,CO,70,5.66,-67.63,29.0,5.7
384,Kutum,42,SD,13,14.2,24.66,27.22,6.08
385,Kodiak,75,US,84,39.95,-94.76,1.67,3.1
386,Quatre Cocos,75,MU,66,-20.21,57.76,29.0,3.1
387,Alexandria,88,RO,93,43.97,25.33,2.78,0.89
388,Ulaangom,19,MN,83,49.98,92.07,-17.98,2.44
389,Staryy Nadym,38,RU,98,65.61,72.68,-20.69,3.41
390,San Cristobal,27,HN,74,14.68,-86.92,23.1,1.55
391,Usatove,90,UA,80,46.54,30.65,1.0,5.0
392,Buta,69,CD,94,2.79,24.73,24.85,0.68
393,Udachnyy,90,RU,75,66.42,112.4,-28.0,1.0
394,Mzimba,100,MW,45,-11.9,33.6,27.1,4.76
395,Houma,100,CN,59,35.63,111.36,9.31,1.6
396,Mogocha,0,RU,90,53.73,119.76,-25.79,1.14
397,Pochutla,20,MX,74,15.74,-96.47,27.78,4.42
398,Monteagudo,20,BO,57,-19.8,-63.96,27.0,2.1
399,Perleberg,89,DE,90,53.08,11.86,7.22,3.13
400,Port Lincoln,0,AU,76,-34.72,135.86,11.92,1.95
401,Necochea,67,AR,60,-38.55,-58.74,17.78,2.68
402,Kautokeino,98,NO,93,69.01,23.04,-0.04,6.16
403,Peleduy,100,RU,94,59.63,112.75,-20.56,4.68
404,Teguise,40,ES,78,29.06,-13.56,23.0,10.3
405,Almirante Tamandare,75,BR,73,-25.32,-49.31,28.89,3.6
406,Fez,75,MA,87,34.03,-5.02,14.0,8.2
407,Havre-Saint-Pierre,90,CA,98,50.23,-63.6,1.0,4.6
408,Katangli,0,RU,67,51.71,143.23,2.17,6.32
409,Zaozhuang,100,CN,90,34.86,117.55,13.5,0.94
410,Greensburg,90,US,93,30.83,-90.67,15.56,2.6
411,Prince Rupert,90,CA,93,54.32,-130.32,8.0,5.7
412,Batsfjord,75,NO,94,70.63,29.72,2.0,6.7
413,Frome,90,GB,93,51.23,-2.32,11.11,4.6
414,Altay,0,CN,31,47.83,88.13,-18.98,1.56
415,Araouane,0,ML,8,18.9,-3.53,30.7,2.91
416,Hasaki,75,JP,100,35.73,140.83,16.0,4.6
417,Turukhansk,91,RU,89,65.8,87.96,-22.27,2.81
418,Ambilobe,71,MG,80,-13.19,49.05,27.32,0.97
419,Cuamba,98,MZ,64,-14.8,36.54,26.66,3.84
420,Huesca,75,ES,87,42.14,-0.41,12.78,7.7
421,Sheridan,1,US,63,39.65,-105.03,1.11,2.6
422,Emerald,0,AU,61,-23.53,148.16,25.0,3.6
423,Pandan,2,PH,77,11.72,122.09,28.2,6.64
424,Sydney Mines,75,CA,80,46.24,-60.22,3.89,11.3
425,Medicine Hat,90,CA,69,50.04,-110.68,3.33,2.6
426,Nalut,28,LY,21,31.86,10.98,22.67,5.75
427,Abu Samrah,100,SY,29,35.3,37.18,15.1,2.72
428,Sinnamary,90,GF,76,5.38,-52.96,28.29,5.85
429,Hambantota,75,LK,100,6.12,81.12,24.0,0.5
430,Mae Hong Son,0,MM,84,19.3,97.96,18.08,1.19
431,Ust-Kulom,95,RU,95,61.69,53.69,-1.88,2.99
